,9 Point Prediction
2014-01-18,0.33018368
2014-01-19,0.2683256
2014-01-20,0.26701903
2014-01-21,0.23426871
2014-01-22,0.22700493
2014-01-23,0.44528356
2014-01-24,0.47044784
2014-01-25,0.44887054
2014-01-26,0.4847157
2014-01-27,0.49206805
2014-01-28,0.4750445
2014-01-29,0.37164176
2014-01-30,0.37164176
2014-01-31,0.3899004
2014-02-01,0.35457057
2014-02-02,0.3544181
2014-02-03,0.56492805
2014-02-04,0.5656225
2014-02-05,0.3333339
2014-02-06,0.40440845
2014-02-07,0.27297434
2014-02-08,0.45248356
2014-02-09,0.40269828
2014-02-10,0.33447915
2014-02-11,0.2887935
2014-02-12,0.28426027
2014-02-13,0.45864102
2014-02-14,0.23399515
2014-02-15,0.43554884
2014-02-16,0.3670733
2014-02-17,0.2896914
2014-02-18,0.37290013
2014-02-19,0.36741385
2014-02-20,0.40749693
2014-02-21,0.49966687
2014-02-22,0.5415532
2014-02-23,0.56676704
2014-02-24,0.70323485
2014-02-25,0.60975367
2014-02-26,0.4895605
2014-02-27,0.5103158
2014-02-28,0.489874
2014-03-01,0.29799092
2014-03-02,0.2836486
2014-03-03,0.26760894
2014-03-04,0.2847532
2014-03-05,0.3842346
2014-03-06,0.28549987
2014-03-07,0.43307912
2014-03-08,0.28689304
2014-03-09,0.35558602
2014-03-10,0.48794648
2014-03-11,0.39598244
2014-03-12,0.40077186
2014-03-13,0.69631904
2014-03-14,0.5160341
2014-03-15,0.26518548
2014-03-16,0.19249004
2014-03-17,0.26028657
2014-03-18,0.26028657
2014-03-19,0.25740045
2014-03-20,0.206137
2014-03-21,0.18008533
2014-03-22,0.19349147
2014-03-23,0.20582916
2014-03-24,0.18443142
2014-03-25,0.17614573
2014-03-26,0.17625664
2014-03-27,0.17625712
2014-03-28,0.17674132
2014-03-29,0.17676711
2014-03-30,0.17980887
2014-03-31,0.18991707
2014-04-01,0.17470746
2014-04-02,0.17615993
2014-04-03,0.17498101
2014-04-04,0.17696534
2014-04-05,0.17717676
2014-04-06,0.17717676
2014-04-07,0.17678916
2014-04-08,0.17522606
2014-04-09,0.17438616
2014-04-10,0.17482314
2014-04-11,0.17450793
2014-04-12,0.17542422
2014-04-13,0.17430428
2014-04-14,0.17341764
2014-04-15,0.17231952
2014-04-16,0.17315568
2014-04-17,0.17310092
2014-04-18,0.17385052
2014-04-19,0.17406368
2014-04-20,0.17217307
2014-04-21,0.17163622
2014-04-22,0.17076047
2014-04-23,0.17062166
2014-04-24,0.17137624
2014-04-25,0.17099327
2014-04-26,0.17390396
2014-04-27,0.17107178
2014-04-28,0.17094637
2014-04-29,0.17127453
2014-04-30,0.17003559
2014-05-01,0.1709909
2014-05-02,0.17049976
2014-05-03,0.17063831
2014-05-04,0.17105506
2014-05-05,0.16932736
2014-05-06,0.1693111
2014-05-07,0.1690966
2014-05-08,0.16955034
2014-05-09,0.1713193
2014-05-10,0.17227338
2014-05-11,0.17236297
2014-05-12,0.17106885
2014-05-13,0.16991168
2014-05-14,0.1701075
2014-05-15,0.16968851
2014-05-16,0.16958122
2014-05-17,0.17002513
2014-05-18,0.16913949
2014-05-19,0.16872185
2014-05-20,0.16875687
2014-05-21,0.16977192
2014-05-22,0.16976464
2014-05-23,0.16997899
2014-05-24,0.17003877
2014-05-25,0.16990407
2014-05-26,0.16950025
2014-05-27,0.16989602
2014-05-28,0.16999662
2014-05-29,0.16998918
2014-05-30,0.16959311
2014-05-31,0.16952117
2014-06-01,0.16941531
2014-06-02,0.16931124
2014-06-03,0.16987818
2014-06-04,0.16975473
2014-06-05,0.16952375
2014-06-06,0.16982739
2014-06-07,0.1694874
2014-06-08,0.17016625
2014-06-09,0.17030472
2014-06-10,0.16950868
2014-06-11,0.16916637
2014-06-12,0.16917898
2014-06-13,0.16859747
2014-06-14,0.16917495
2014-06-15,0.1698579
2014-06-16,0.16915776
2014-06-17,0.16862626
2014-06-18,0.1691897
2014-06-19,0.16947226
2014-06-20,0.16908906
2014-06-21,0.1691519
2014-06-22,0.1695523
2014-06-23,0.16882451
2014-06-24,0.16899969
2014-06-25,0.16831191
2014-06-26,0.1682749
2014-06-27,0.16844144
2014-06-28,0.16843967
