,gap_length,Linear Interpolation (MAPE),Linear Interpolation (RMSE),Polynomial (MAPE),Polynomial (RMSE),Cubic (MAPE),Cubic (RMSE),Mean Imputation (MAPE),Mean Imputation (RMSE),Spatial Linear Interpolation (MAPE),Spatial Linear Interpolation (RMSE),3 Point Prediction (MAPE),3 Point Prediction (RMSE),9 Point Prediction (MAPE),9 Point Prediction (RMSE)
2019-08-15,15,0.1530236731677144,0.0902590435540351,0.0726514896292814,0.0450673131344603,0.1179804004512054,0.0745318760701106,0.5017997808288326,0.2736503673366828,0.1337505912962182,0.0807583441896253,0.0774024860501456,0.053898549789901,0.0637476402513834,0.0365208816731936
2018-03-10,12,0.1102133739022905,0.0283310492507487,0.2063107153924733,0.0364486145053034,0.1838112003122492,0.032474065425347,0.4966106576423399,0.0875001924872554,0.0780166280625683,0.0182196137973085,0.0737726455675104,0.0160571018433917,0.1123538477684682,0.021459418559338
2017-05-11,11,0.0705304744372178,0.0112975490875063,0.1227442170118339,0.0189398240962068,0.1292083409602426,0.0190735351802299,1.1196871923073906,0.1383686878240449,0.0251580316961277,0.0047397092474117,0.0336867800225973,0.0045073747951625,0.0323702095756908,0.0058318300746451
2017-08-07,17,0.0968249212853366,0.031993820819607,0.1358400401918878,0.0724857615606404,0.1495688862695327,0.0734778986056678,0.443606508056843,0.1120116189865893,0.1982162496796083,0.0851753934904324,0.0062642341352797,0.0012767443153584,0.0232863465967474,0.0044015293560761
2017-12-02,12,0.6006270194236359,0.3690740753248906,0.4782592668582727,0.4043021281142037,0.5381528711783614,0.410933744503738,0.4566412856955558,0.4848782037298996,0.151195353068937,0.2248809300325567,0.1716770857278737,0.2820791961814268,0.0836137897769666,0.1541477717733764
2015-04-04,23,0.048783355822544,0.0066901669137124,0.2909997654599892,0.0394912892825208,0.3158741333174414,0.0427829214820998,1.096361676395282,0.1373426584105677,0.0359060970505224,0.0058278247800244,0.0547769429629147,0.008439535161111,0.0360643497049085,0.0056133351847068
2020-02-19,9,0.1004750751706079,0.0418148516460577,0.4174891630496161,0.1449835098438248,0.5518926238421427,0.1881488290327661,0.1303881399842155,0.0489265595797674,0.4325892162187517,0.1592517758927667,0.3526065803123621,0.1267372880197763,0.3909373037412256,0.1746713776352693
2017-12-29,13,0.2954411536874209,0.1524394493373867,0.3683961795657592,0.1879454239541774,0.4105608816086966,0.2078205451076547,0.4718790652819524,0.3122258137343393,0.1281040955308204,0.0732929009547114,0.1271486532331762,0.0926516594841597,0.0799443086290548,0.066372072067985
2015-01-08,14,0.3818205761992218,0.1874075105218571,0.400889720974095,0.1944197275546159,0.379499876560996,0.1843239996303509,0.3061731361944355,0.1314474792026868,0.3123296530763845,0.1011333432899357,0.3154670917876485,0.119819146005584,0.3880247610729233,0.118262524423365
2014-02-04,10,0.4929025501515639,0.7197374345881107,0.8104485350610808,0.8865400713036208,0.8523669936441712,0.9319688152698686,0.5848249793352772,0.8269483807345345,0.4386900200188915,0.6511777855599589,0.4299897733867766,0.7554631389987057,0.3004371411708673,0.5947128417357469
2015-12-06,12,0.2287702280810517,0.0493314925158985,0.6035385905316325,0.1364458068507699,0.724648508545283,0.1567825708479949,0.3096128177131368,0.0641547706592277,0.0729125547569577,0.0185798691723472,0.1304596202569879,0.0310047496690397,0.0708637041251876,0.0166307812152931
2015-10-25,9,0.0282126597760944,0.0055456780878937,0.1441776500160118,0.0219760118417776,0.1492423907508192,0.0226498723773991,0.9658802422213834,0.1289403929217584,0.0331218273809871,0.0055523080786281,0.0865302470510301,0.0130348004637318,0.0381347955644361,0.0056366924630282
2013-08-23,19,0.4465227024425637,0.0835345950575483,0.6987957592646007,0.1351638656443927,0.7667649244962199,0.1478462902355156,0.493535084464264,0.0868461548977916,0.0307175842958379,0.0059308515408834,0.0327448949071883,0.0073340541432736,0.0882512213912649,0.0167442336786306
2018-12-31,18,0.1931448580846074,0.1357624473308549,0.2740841046936371,0.1967359691281149,0.3693804993942076,0.2538701612474068,0.559578352867797,0.3806559555883806,0.2008664998368606,0.1429973954966447,0.153555714063959,0.1172499591577407,0.2138804985846461,0.1723628401776901
2013-07-18,17,0.0745391596971328,0.0356883855432411,0.4548210712340962,0.1743470417090522,0.4823104304639895,0.1839180063791017,0.2164448918396282,0.0747548477246027,0.0563543055557317,0.0216646519209781,,,,
2018-10-16,21,0.0935514397498717,0.0229841842855631,0.1535257489842937,0.0407908681320034,0.1634650265696865,0.0408439092606349,0.3585981823399222,0.0698416752784144,0.0493892607626306,0.0144103074300055,0.0802439877292595,0.019505922230351,0.0572470462457463,0.0177540548066662
2018-10-03,16,0.1573884940860579,0.0379027464931122,0.0975605913330548,0.0303509470606787,0.101077737147472,0.0305555194245123,0.2338686103489318,0.0568637364918875,0.090682554980688,0.0280287077098169,0.093156965067398,0.027089607038759,0.0541515349613688,0.021542498508396
2016-02-25,19,0.1060121355752675,0.0196452466079129,0.5606905539782149,0.0953113973373678,0.6055121188077461,0.1019058593838736,0.7217795971412434,0.1090887688110129,0.0871864620575592,0.0165669805260343,0.1078630129394026,0.0236142437039126,0.2468823348020405,0.0436670090701446
2020-02-04,19,0.1986435977684552,0.1310473166697784,6.51804771380255,3.566393362342155,7.817152996999148,4.017995397150191,0.3558380939285172,0.2315948700311536,0.3143500910053757,0.1454425439606651,0.2674450985982145,0.1406014278955826,0.3103117697001321,0.177001265197126
2017-08-04,23,0.147521815507815,0.035386969353139,0.3082828581165274,0.0729822912889444,0.358589610601553,0.0844178218541898,0.4502657932987168,0.1164216597455897,0.1387829918198817,0.0639251882085614,0.0294757774864472,0.00714614635575,0.0682113889381001,0.0138297753319777
2012-11-30,22,0.2340559730038715,0.0503122616416474,0.4394152551417606,0.0951862687211224,0.4475806315455922,0.0963272305654856,0.4148770146448016,0.0805438950308902,0.1707071782723408,0.0428205938873991,0.1719211247937973,0.0537836912479452,0.2153627368247281,0.0470420990157948
2020-01-18,13,0.3200679194195713,0.2349228309635666,2.990566494606405,2.47400986796974,3.483382801746415,2.6990645339451937,0.5256251025532395,0.4084656447861527,0.2008759375636504,0.1558180207176215,0.2478493022459434,0.1935558108190635,0.2587964559450174,0.2224397586622502
2019-11-03,13,0.3670310460445213,0.2865878143059156,1.5034879689802054,0.941821034302696,1.5255834833347008,0.9568942497572206,0.5551871696173042,0.4158424105818933,0.1459799952991259,0.0975865534623837,0.2543837762712785,0.2211609559885446,0.2531144910254823,0.1665848049878116
2015-12-02,11,0.1826830697739384,0.040084206238163,0.1436175116446541,0.0314287853012873,0.1018354936215495,0.0255120783727769,0.3423526137279067,0.0685651678774394,0.0788510815312377,0.0219826813935425,0.085451880003854,0.0196032633323568,0.0925176698989252,0.0234660861633175
2017-09-20,15,0.0597040796894446,0.0127921736183634,0.0871035237426726,0.0153889077235911,0.1153548016570878,0.0188621763969652,0.7180585004315329,0.1096244192152009,0.0503678057344701,0.0128551500501744,0.0394814719833225,0.0093013029380132,0.1033252408030918,0.020675068533638
2016-06-15,22,0.7974821054925733,0.0930739043743465,0.3857216123748507,0.0513025676153561,0.3312982404922752,0.0433918274482331,1.5503011362955337,0.1597303437053527,0.0370564834761053,0.0054439336689297,0.0661583179447658,0.0080152730518419,0.0556824185655555,0.0078985614130866
2014-09-04,16,0.0272260106843968,0.0071091321797096,0.269512796966883,0.0603900643904849,0.2917810757636193,0.062580133422657,0.4426258774645369,0.0806284654850354,0.04429427485537,0.0103004943485023,0.0482712864269466,0.0110425002344742,0.0755420755752054,0.0161419389954629
2019-01-05,19,0.2287400993816601,0.1834762538158159,0.4669293975500375,0.3080208421988316,0.4311460376672461,0.2846074594616592,0.5639597933500018,0.3934853450256199,0.2763385143133537,0.1807579122241475,0.2049470918941631,0.1470223916531074,0.2800649273519358,0.2038186152740553
2019-05-16,12,0.1084026567077996,0.0143496372048943,0.1853592535582788,0.0221354817892766,0.1949862627535988,0.0231540763759304,1.4517979570919928,0.1549591527032623,0.0517810148558982,0.0063094289940349,0.0590204251238711,0.0073873740834045,0.0418288496424378,0.0050626841059724
2018-06-05,14,0.0443034420975597,0.0054650404085117,0.3678030028263268,0.0464398418301702,0.397676620548834,0.0487103950017131,1.3696458299711989,0.1519873737396882,0.0168525708966885,0.003206763685296,0.0500279442627501,0.0074718125029972,0.0574563660647072,0.0070625211216118
